,company,bar_name,ref,review_date,cocoa_percent,company_location,rating,bean_type,bean_origin,clusters
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75, ,Ecuador,2
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5, ,Venezuela,2
50,Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,2
51,Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25, ,Bolivia,0
52,Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0, ,Bolivia,2
53,Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25, ,Peru,2
54,Amano,Morobe,725,2011,70.0,U.S.A.,4.0, ,Papua New Guinea,3
55,Amano,Dos Rios,470,2010,70.0,U.S.A.,3.75, ,Dominican Republic,3
56,Amano,Guayas,470,2010,70.0,U.S.A.,4.0, ,Ecuador,3
57,Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,3
58,Amano,Montanya,363,2009,70.0,U.S.A.,3.0, ,Venezuela,3
59,Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75, ,Indonesia,3
60,Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,3
61,Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0, ,Venezuela,3
62,Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,3
63,Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,3
64,Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75, ,Ecuador,3
65,Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75, ,Ecuador,1
66,Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,1
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25, ,Peru,3
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,3
69,Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,2
70,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,2
71,Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25, ,Dominican Republic,0
72,Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25, ,Papua New Guinea,2
73,Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25, ,Venezuela,3
74,Ambrosia,Peru,1498,2015,68.0,Canada,3.5, ,Peru,3
75,Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75, ,Peru,3
76,Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,3
77,Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,3
78,Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,3
79,Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,3
80,Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,3
81,Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,3
82,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,3
83,Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad,3
84,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,0
85,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,1
86,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,2
87,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,0
88,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,2
89,Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0, ,Dominican Republic,0
90,Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5, ,Bolivia,0
91,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,0
92,Ara,Chiapas,1379,2014,72.0,France,2.5, ,Mexico,3
93,Ara,Equateur,1379,2014,75.0,France,2.75, ,Ecuador,0
94,Ara,Trincheras,1379,2014,75.0,France,3.0, ,Venezuela,0
95,Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad,3
96,Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75, ,Tanzania,3
97,Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,3
98,Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25, ,Ecuador,3
99,Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25, ,Ecuador,3
100,Arete,Lachua,1904,2016,70.0,U.S.A.,3.5, ,Guatemala,3
101,Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75, ,Nicaragua,3
102,Arete,"La Masica, FHIA",1908,2016,70.0,U.S.A.,3.5, ,Honduras,3
103,Arete,"Coto Brus, Terciopelo",1908,2016,70.0,U.S.A.,4.0, ,Costa Rica,3
104,Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,3
105,Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75, ,Dominican Republic,3
106,Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25, ,Fiji,3
107,Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25, ,Vietnam,3
108,Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5, ,Brazil,3
109,Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,3
110,Arete,"Puerto Quito, heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,3
111,Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5, ,Domincan Republic,3
112,Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize,3
113,Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,3
114,Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75, ,Brazil,0
115,Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25, ,Guatemala,3
116,Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5, ,Ecuador,0
117,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,U.K.,3.25,Trinitario,Trinidad,3
118,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,U.K.,3.75, ,Colombia,3
119,Artisan du Chocolat,Haiti,729,2011,72.0,U.K.,4.0, ,Haiti,3
120,Artisan du Chocolat,Panama,745,2011,72.0,U.K.,2.75, ,Panama,3
121,Artisan du Chocolat,Venezuela,486,2010,100.0,U.K.,1.75, ,Venezuela,1
122,Artisan du Chocolat,Jamaica,531,2010,72.0,U.K.,3.75,Trinitario,Jamaica,3
123,Artisan du Chocolat,Costa Rica,600,2010,72.0,U.K.,3.25, ,Costa Rica,3
124,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,U.K.,3.25,Trinitario,Vietnam,3
125,Artisan du Chocolat,Bali,600,2010,72.0,U.K.,3.5, ,Indonesia,3
126,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela,0
127,Artisan du Chocolat,Java,355,2009,72.0,U.K.,2.75,Trinitario,Indonesia,3
128,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,U.K.,1.75, ,Brazil,3
129,Artisan du Chocolat,Madagascar,363,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar,0
130,Artisan du Chocolat,Peru,363,2009,75.0,U.K.,3.0,Criollo,Peru,0
131,Artisan du Chocolat,Dominican Republic,363,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,3
132,Artisan du Chocolat,Congo,300,2008,72.0,U.K.,3.75,Forastero,Congo,3
133,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,U.K.,2.75,Trinitario,Colombia,3
134,Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania,3
135,Askinosie,"Tenende, Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania,3
136,Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,3
137,Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,0
138,Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,0
139,Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,3
140,Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5, ,Papua New Guinea,3
141,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,3
142,Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5, ,Brazil,3
143,Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75, ,Peru,3
144,Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5, ,Peru,3
145,Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5, ,Brazil,3
146,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,3
147,Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25, ,Dominican Republic,3
148,Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5, ,Mexico,3
149,Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,3
150,Baravelli's,single estate,955,2012,80.0,Wales,2.75, ,Costa Rica,0
151,Batch,"Dominican Republic, Batch 3",1840,2016,65.0,U.S.A.,3.5, ,Domincan Republic,2
152,Batch,Brazil,1868,2016,70.0,U.S.A.,3.75, ,Brazil,3
153,Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25, ,Ecuador,2
154,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,U.K.,3.0, ,Malaysia,3
155,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,U.K.,3.25, ,Malaysia,3
156,Beehive,"Brazil, Batch 20316",1784,2016,80.0,U.S.A.,2.75, ,Brazil,0
157,Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,U.S.A.,2.75, ,Domincan Republic,3
158,Beehive,"Ecuador, Batch 31516",1784,2016,70.0,U.S.A.,2.75, ,Ecuador,3
159,Beehive,Ecuador,1788,2016,90.0,U.S.A.,2.75, ,Ecuador,1
160,Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75, ,Costa Rica,2
161,Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75, ,Papua New Guinea,2
162,Belcolade,Peru,586,2010,64.0,Belgium,2.75, ,Peru,2
163,Belcolade,Ecuador,586,2010,71.0,Belgium,3.5, ,Ecuador,3
164,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,3
165,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,U.S.A.,3.25, ,Bolivia,3
166,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,U.S.A.,3.5, ,Domincan Republic,3
167,Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize,1
168,Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize,0
169,Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize,1
170,Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba,0
171,Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,0
172,Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,0
173,Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador,3
174,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia,3
175,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,3
176,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,2
177,Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela,1
178,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5, ,Venezuela,3
179,Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0, ,Ecuador,3
180,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela,3
181,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,0
182,Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5, ,Indonesia,2
183,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5, ,Venezuela,3
184,Bisou,"Nicaragua, American style",1482,2015,76.0,U.S.A.,2.5, ,Nicaragua,0
185,Bisou,"San Andres, American style",1486,2015,76.0,U.S.A.,2.5, ,Costa Rica,0
186,Bisou,"San Andres, silk",1486,2015,78.0,U.S.A.,2.5, ,Costa Rica,0
187,Bisou,Belize,1486,2015,86.0,U.S.A.,3.25,Trinitario,Belize,1
188,Bittersweet Origins,Ghana,963,2012,72.0,U.S.A.,3.5,Forastero,Ghana,3
189,Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,U.S.A.,3.25, ,Indonesia,0
190,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali",3
191,Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,U.S.A.,2.75, ,Indonesia,2
192,Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,3
193,Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,0
194,Bittersweet Origins,Puerto Plata,414,2009,75.0,U.S.A.,3.0, ,Dominican Republic,0
195,Bittersweet Origins,Puerto Plata,414,2009,65.0,U.S.A.,3.5, ,Dominican Republic,2
196,Bittersweet Origins,Sambirano,423,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,0
197,Bittersweet Origins,Sambirano,431,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,2
198,Bittersweet Origins,Sambirano,233,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,3
199,Bittersweet Origins,Bocas del Toro,233,2008,75.0,U.S.A.,3.5, ,Panama,0
200,Bittersweet Origins,Puerto Plata,233,2008,68.0,U.S.A.,3.75, ,Dominican Republic,3
201,Bittersweet Origins,Ankasa,256,2008,70.0,U.S.A.,3.0,Forastero,Ghana,3
202,Black Mountain,La Red,256,2008,70.0,U.S.A.,2.75, ,Dominican Republic,3
203,Black Mountain,Carenero Superior,256,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,3
204,Black Mountain,Matiguas,256,2008,70.0,U.S.A.,3.0, ,Nicaragua,3
205,Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,U.K.,2.75,Trinitario,Jamaica,3
206,Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo,0
207,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,0
208,Blue Bandana,Lachua,1752,2016,75.0,U.S.A.,2.75, ,Guatemala,0
209,Blue Bandana,Kokoa Kamili,1752,2016,75.0,U.S.A.,3.5, ,Tanzania,0
210,Blue Bandana,Zorzal Reserva,1756,2016,75.0,U.S.A.,3.0, ,Dominican Republic,0
211,Blue Bandana,Guatemala,911,2012,70.0,U.S.A.,3.5, ,Guatemala,3
212,Blue Bandana,Madagascar,911,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,3
213,Bonnat,Selva Maya,1912,2016,75.0,France,3.5, ,Mexico,0
214,Bonnat,Kaori,1339,2014,75.0,France,4.0, ,Brazil,0
215,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25, ,Dominican Republic,0
216,Bonnat,Surfin,1418,2014,65.0,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex",2
217,Bonnat,Maragnam,1038,2013,75.0,France,3.5, ,Brazil,0
218,Bonnat,Gabon,1042,2013,75.0,France,3.25, ,Gabon,0
219,Bonnat,Cuba,629,2011,75.0,France,3.5,Trinitario,Cuba,0
220,Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5, ,Peru,0
221,Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero (Nacional),Peru,0
222,Bonnat,Libanio,629,2011,75.0,France,3.75, ,Brazil,0
223,Bonnat,Haiti,629,2011,75.0,France,4.0, ,Haiti,0
224,Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar,0
225,Bonnat,Juliana,672,2011,75.0,France,3.5, ,Brazil,0
226,Bonnat,Jamaique,761,2011,75.0,France,3.25,Trinitario,Jamaica,0
227,Bonnat,Ivory Coast,331,2009,75.0,France,3.0, ,Ivory Coast,0
228,Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,Criollo,Peru,0
229,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,Criollo,Mexico,0
230,Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,Criollo,Mexico,0
231,Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,0
232,Bonnat,Equateur,123,2007,75.0,France,2.5,Forastero (Arriba),Ecuador,0
233,Bonnat,Trinite,24,2006,75.0,France,3.75,Trinitario,Carribean,0
234,Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0, ,Venezuela,0
235,Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela,0
236,Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar,0
237,Bonnat,Ceylan,81,2006,75.0,France,3.0, ,Sri Lanka,0
238,Bonnat,Chuao,81,2006,75.0,France,4.0,Trinitario,Venezuela,0
239,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador,0
240,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador,1
241,Bowler Man,Maya Mountain,1267,2014,70.0,U.S.A.,2.75,Trinitario,Belize,3
242,Bowler Man,Conacado,1271,2014,70.0,U.S.A.,2.75, ,Dominican Republic,3
243,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70.0,U.S.A.,3.5,Criollo,Venezuela,3
244,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70.0,U.S.A.,3.75, ,Nicaragua,3
245,Brasstown aka It's Chocolate,Conacado,1462,2015,68.0,U.S.A.,3.75, ,Dominican Republic,3
246,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70.0,U.S.A.,3.75,Trinitario,Belize,3
247,Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela,3
248,Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic,3
249,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70.0,U.S.A.,3.25, ,Ecuador,3
250,Brasstown aka It's Chocolate,Ghana,1129,2013,75.0,U.S.A.,3.5,Forastero,Ghana,0
251,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela,1
252,Brazen,Elvesia P.,1514,2015,60.0,U.S.A.,3.0, ,Dominican Republic,2
253,Brazen,Elvesia P.,1514,2015,80.0,U.S.A.,3.25, ,Dominican Republic,0
254,Brazen,"Alta Verapaz, 2014",1514,2015,70.0,U.S.A.,3.5, ,Guatemala,3
255,Brazen,Ambolikapiky P.,1518,2015,80.0,U.S.A.,2.75, ,Madagascar,0
256,Brazen,Maya Mountain,1518,2015,80.0,U.S.A.,3.25,Trinitario,Belize,0
257,Brazen,Ambolikapkly P.,1518,2015,60.0,U.S.A.,3.25, ,Madagascar,2
258,Breeze Mill,Jamaica,1149,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica,3
259,Bright,Somia Plantation,1231,2014,72.0,Australia,3.0,Trinitario,Madagascar,3
260,Bright,Marabel Farms,1231,2014,70.0,Australia,3.5, ,Dominican Republic,3
261,Bright,"Camino Verde, Balao, Guayas",1231,2014,72.0,Australia,3.5, ,Ecuador,3
262,Bright,Gran Couva,1235,2014,68.0,Australia,2.75,Trinitario,Trinidad,3
263,Britarev,Ecuador,1638,2015,70.0,Russia,3.25, ,Ecuador,3
264,Bronx Grrl Chocolate,Dominican Republic,1181,2013,68.0,U.S.A.,2.75, ,Dominican Republic,3
265,Burnt Fork Bend,Trinidad,1299,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad,3
266,Burnt Fork Bend,Mindo,1299,2014,72.0,U.S.A.,3.5, ,Ecuador,3
267,Burnt Fork Bend,Belize,1303,2014,72.0,U.S.A.,3.25,Trinitario,Belize,3
268,Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60.0,U.S.A.,2.5, ,Ecuador,2
269,Cacao Arabuco,Puerto Rico,1606,2015,70.0,Puerto Rico,2.5, ,Puerto Rico,3
270,Cacao Atlanta,Tumbes,1215,2014,75.0,U.S.A.,2.5,Criollo,Peru,0
271,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75.0,U.S.A.,2.5, ,Dominican Republic,0
272,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75.0,U.S.A.,2.75, ,Dominican Republic,0
273,Cacao Atlanta,Patanemo,600,2010,75.0,U.S.A.,2.25, ,Venezuela,0
274,Cacao Barry,Grand 'Anse,1716,2016,65.0,France,3.5,"Trinitario, Criollo",Haiti,2
275,Cacao Barry,Santo Domingo,586,2010,70.0,France,3.0, ,Dominican Republic,3
276,Cacao Barry,Tanzania,300,2008,75.0,France,2.0, ,Tanzania,0
277,Cacao Barry,Venezuela,141,2007,72.0,France,2.0, ,Venezuela,3
278,Cacao Barry,Mexico,147,2007,66.0,France,3.0, ,Mexico,2
279,Cacao de Origen,Chuao,1688,2015,77.0,Venezuela,3.5,Trinitario,Venezuela,0
280,Cacao de Origen,Rio Caribe,1692,2015,75.0,Venezuela,3.25,Trinitario,Venezuela,0
